prop,propLabel,count,total humans with ID,SDBM is % of total,Reviewer(s),Query,Thoughts
http://www.wikidata.org/entity/P8750,"""Unione Romana Biblioteche Scientifiche ID""@en",2304,33881,6.80,,,
http://www.wikidata.org/entity/P9287,"""Cyprus Bibliography ID""@en",47,699,6.72,,,
http://www.wikidata.org/entity/P10118,"""World of Shakespeare ID""@en",1,15,6.67,,,
http://www.wikidata.org/entity/P8826,"""edition humboldt digital ID""@en",396,5943,6.66,,,
http://www.wikidata.org/entity/P4553,"""RA Collections ID""@en",511,7737,6.60,,,
http://www.wikidata.org/entity/P9621,"""Treccani's Enciclopedia della Matematica ID""@en",42,640,6.56,,,
http://www.wikidata.org/entity/P9534,"""Biblioteche della Custodia di Terra Santa a Gerusalemme ID""@en",422,6439,6.55,,,
http://www.wikidata.org/entity/P2460,"""Persons of Ancient Athens""@en",11,169,6.51,,,
http://www.wikidata.org/entity/P9502,"""Digital DISCI ID""@en",15,231,6.49,,,
http://www.wikidata.org/entity/P7796,"""BeWeb person ID""@en",342,5342,6.40,,,
http://www.wikidata.org/entity/P7314,"""TDV İslam Ansiklopedisi ID""@en",156,2437,6.40,,,
http://www.wikidata.org/entity/P10141,"""Academy of Athens authority ID""@en",670,10494,6.38,,,
http://www.wikidata.org/entity/P1899,"""LibriVox author ID""@en",413,6498,6.36,,,
http://www.wikidata.org/entity/P6167,"""British Executions ID""@en",12,189,6.35,,,
http://www.wikidata.org/entity/P9164,"""Svenska Institutet i Rom ID""@en",688,10838,6.35,,,
http://www.wikidata.org/entity/P9495,"""National Historical Museums of Sweden ID""@en",563,9019,6.24,,,
http://www.wikidata.org/entity/P7507,"""Ben Yehuda author ID""@en",70,1126,6.22,,,
http://www.wikidata.org/entity/P7024,"""Flemish Public Libraries ID""@en",106,1741,6.09,,,
http://www.wikidata.org/entity/P10242,"""Lur Encyclopedic Dictionary ID""@en",804,13237,6.07,,,
http://www.wikidata.org/entity/P3569,"""Cultureel Woordenboek ID""@en",120,1990,6.03,,,
http://www.wikidata.org/entity/P7776,"""SSNE person ID""@en",4,67,5.97,,,
http://www.wikidata.org/entity/P10844,"""Teresianum authority ID""@en",75,1257,5.97,,,
http://www.wikidata.org/entity/P10480,"""symogih.org ID""@en",370,6226,5.94,,,
http://www.wikidata.org/entity/P5605,"""DOLF ID""@en",6,101,5.94,,,
http://www.wikidata.org/entity/P1017,"""Vatican Library ID (former scheme)""@en",3778,63685,5.93,,,
http://www.wikidata.org/entity/P3122,"""OpenDomesday person ID""@en",1,17,5.88,,,
http://www.wikidata.org/entity/P2966,"""National Library of Wales Authority ID""@en",656,11185,5.86,,,
http://www.wikidata.org/entity/P9198,"""Encyclopédie berbère article ID""@en",5,86,5.81,,,
http://www.wikidata.org/entity/P7026,"""Lebanese National Library ID""@en",99,1703,5.81,,,
http://www.wikidata.org/entity/P9765,"""Great Ukrainian Encyclopedia Online ID""@en",8,141,5.67,,,
http://www.wikidata.org/entity/P1260,"""Swedish Open Cultural Heritage URI""@en",446,7944,5.61,,,
http://www.wikidata.org/entity/P8271,"""LombardiaBeniCulturali architecture author ID""@en",1,18,5.56,,,
http://www.wikidata.org/entity/P9226,"""ARAE ID""@en",207,3765,5.50,,,
http://www.wikidata.org/entity/P4717,"""Académie française member ID""@en",40,739,5.41,,,
http://www.wikidata.org/entity/P4272,"""DPLA subject term""@en",8,148,5.41,,,
http://www.wikidata.org/entity/P7982,"""Hrvatska enciklopedija ID""@en",1161,21520,5.39,,,
http://www.wikidata.org/entity/P7369,"""National Library of Chile ID""@en",569,10566,5.39,,,
http://www.wikidata.org/entity/P9247,"""Pontifical University of Salamanca ID""@en",586,10937,5.36,,,
http://www.wikidata.org/entity/P1003,"""National Library of Romania ID""@en",12,225,5.33,,,
http://www.wikidata.org/entity/P11182,"""UOM ID""@en",4,75,5.33,,,
http://www.wikidata.org/entity/P3762,"""openMLOL author ID""@en",3642,68582,5.31,,,
http://www.wikidata.org/entity/P6725,"""CatholicSaints.info ID""@en",5,95,5.26,,,
http://www.wikidata.org/entity/P3827,"""JSTOR topic ID""@en",1,19,5.26,,,
http://www.wikidata.org/entity/P3035,"""ISBN publisher prefix""@en",1,19,5.26,,,
http://www.wikidata.org/entity/P4343,"""WBPLN author ID""@en",52,995,5.23,,,
http://www.wikidata.org/entity/P1296,"""Gran Enciclopèdia Catalana ID""@en",1691,32741,5.16,,,
http://www.wikidata.org/entity/P1438,"""Jewish Encyclopedia ID (Russian)""@en",90,1749,5.15,,,
http://www.wikidata.org/entity/P5019,"""Brockhaus Enzyklopädie online ID""@en",1546,30505,5.07,,,
http://www.wikidata.org/entity/P2431,"""Thyssen-Bornemisza artist ID""@en",29,578,5.02,,,
http://www.wikidata.org/entity/P8386,"""Gramophone composer ID""@en",5,100,5.00,,,
http://www.wikidata.org/entity/P9736,"""MANTO ID""@en",1,20,5.00,,,
http://www.wikidata.org/entity/P1711,"""British Museum person or institution ID""@en",1980,39747,4.98,,,
http://www.wikidata.org/entity/P3847,"""Open Library subject ID""@en",78,1576,4.95,,,
http://www.wikidata.org/entity/P3429,"""Electronic Enlightenment ID""@en",242,4901,4.94,,,
http://www.wikidata.org/entity/P7128,"""Archives Directory for the History of Collecting in America ID""@en",89,1805,4.93,,,
http://www.wikidata.org/entity/P4619,"""National Library of Brazil ID""@en",686,13987,4.90,,,
http://www.wikidata.org/entity/P10626,"""deckenmalerei.eu ID""@en",43,877,4.90,,,
http://www.wikidata.org/entity/P5859,"""Adelphi author ID""@en",45,926,4.86,,,
http://www.wikidata.org/entity/P8669,"""Encyclopaedia Beliana ID""@en",33,680,4.85,,,
http://www.wikidata.org/entity/P9371,"""FranceArchives agent ID""@en",173,3583,4.83,,,
http://www.wikidata.org/entity/P2924,"""Great Russian Encyclopedia Online ID""@en",1137,23729,4.79,,,
http://www.wikidata.org/entity/P9952,"""Gente di Tuscia ID""@en",33,690,4.78,,,
http://www.wikidata.org/entity/P8563,"""Emporis company ID""@en",1,21,4.76,,,
http://www.wikidata.org/entity/P11185,"""Levadia Library ID""@en",70,1477,4.74,,,
http://www.wikidata.org/entity/P5372,"""Dictionnaire critique des historiens de l'art ID""@en",15,318,4.72,,,
http://www.wikidata.org/entity/P9879,"""Encyclopaedia of Islam (third edition) ID""@en",10,212,4.72,,,
http://www.wikidata.org/entity/P8160,"""Bibliotheca Augustana author ID""@en",5,106,4.72,,,
http://www.wikidata.org/entity/P9097,"""American Academy in Rome ID""@en",1735,36885,4.70,,,
http://www.wikidata.org/entity/P1807,"""Great Aragonese Encyclopedia ID""@en",98,2093,4.68,,,
http://www.wikidata.org/entity/P1417,"""Encyclopædia Britannica Online ID""@en",2403,51622,4.65,,,
http://www.wikidata.org/entity/P3348,"""National Library of Greece ID""@en",1769,38019,4.65,,,
http://www.wikidata.org/entity/P9117,"""BVFE author ID""@en",27,583,4.63,,,
http://www.wikidata.org/entity/P10679,"""Aldiwan poet ID""@en",28,612,4.58,,,
http://www.wikidata.org/entity/P3307,"""Galiciana authority ID""@en",21,461,4.56,,,
http://www.wikidata.org/entity/P8238,"""Bibliography of the History of Slovakia ID""@en",86,1907,4.51,,,
http://www.wikidata.org/entity/P1563,"""MacTutor biography ID""@en",134,2975,4.50,,,
http://www.wikidata.org/entity/P8496,"""Archive Site Trinity College Cambridge ID""@en",381,8473,4.50,,,
http://www.wikidata.org/entity/P7753,"""Projekt Gutenberg-DE author ID""@en",91,2030,4.48,,,
http://www.wikidata.org/entity/P9171,"""RILM ID""@en",68,1517,4.48,,,
http://www.wikidata.org/entity/P1036,"""Dewey Decimal Classification""@en",3,67,4.48,,,
http://www.wikidata.org/entity/P1986,"""Biographical Dictionary of Italian People ID""@en",1349,30349,4.44,,,
http://www.wikidata.org/entity/P6173,"""Bitraga author ID""@en",48,1083,4.43,,,
http://www.wikidata.org/entity/P4585,"""Accademia della Crusca ID""@en",34,781,4.35,,,
http://www.wikidata.org/entity/P7305,"""Online PWN Encyclopedia ID""@en",1130,26234,4.31,,,
http://www.wikidata.org/entity/P7168,"""FGrHist ID""@en",8,187,4.28,,,
http://www.wikidata.org/entity/P5493,"""EDIT16 catalogue printer ID""@en",3,71,4.23,,,
http://www.wikidata.org/entity/P6130,"""Littera ID""@en",3,71,4.23,,,
http://www.wikidata.org/entity/P7388,"""Great Encyclopedia of Navarre ID""@en",38,903,4.21,,,
http://www.wikidata.org/entity/P8848,"""CONOR.AL ID""@en",47,1117,4.21,,,
http://www.wikidata.org/entity/P8081,"""WBIS ID""@en",583,13879,4.20,,,
http://www.wikidata.org/entity/P8034,"""Vatican Library VcBA ID""@en",4771,113641,4.20,,,
http://www.wikidata.org/entity/P6482,"""Image Archive, Herder Institute""@en",53,1266,4.19,,,
http://www.wikidata.org/entity/P10017,"""Dizionario delle Scienze Fisiche ID""@en",1,24,4.17,,,
http://www.wikidata.org/entity/P1882,"""Web Gallery of Art ID""@en",162,3917,4.14,,,
http://www.wikidata.org/entity/P10525,"""Italian Women Writers ID""@en",22,532,4.14,,,
http://www.wikidata.org/entity/P4539,"""Collective Biographies of Women ID""@en",145,3507,4.13,,,
http://www.wikidata.org/entity/P2401,"""Six Degrees of Francis Bacon ID""@en",552,13428,4.11,,,
http://www.wikidata.org/entity/P9588,"""causesanti.va ID""@en",26,634,4.10,,,
http://www.wikidata.org/entity/P8870,"""Hyperion Records person ID""@en",140,3425,4.09,,,
